Issue_Number,Date,Game_Type,First_Prize_Count,First_Prize_Amount,Second_Prize_Count,Second_Prize_Amount,Prize_Pool,Prize_Pool_Amount,Prize_Notice_URL,Sales_Notice_URL
24167,2024-10-28,胜负游戏,2,"5,000,000",64,"87,996",,"3,140,787.97",https://pdf.sporttery.cn/100/24167/24167.pdf,https://pdf.sporttery.cn/100/24167/24167XL.pdf
24167,2024-10-28,任选9场,839,"18,288",,,,0,https://pdf.sporttery.cn/29200/24167/24167.pdf,https://pdf.sporttery.cn/29200/24167/24167XL.pdf
24214,2024-10-28,6场半全场,2,"594,944",,,,0,https://pdf.sporttery.cn/31300/24214/24214.pdf,https://pdf.sporttery.cn/31300/24214/24214XL.pdf
24214,2024-10-28,4场进球,2,"946,577",,,,0,https://pdf.sporttery.cn/31400/24214/24214.pdf,https://pdf.sporttery.cn/31400/24214/24214XL.pdf
